city,latitude,longitude,date,PM2_5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_dir,dist_to_road,dist_to_industry,dist_to_farm,fire_nearby,is_festival_day,festival_name,is_election_period,is_sports_event,pollution_source
Delhi,28.604422,77.231404,2014-11-01,6.88,131.93,83.35,20.27,1.136,6.18,26.37,94.06,3.53,182.49,1.925,1.854,0.412,0,0,None,0,0,vehicular
Mumbai,19.065355,72.871479,2014-11-01,93.05,190.02,29.06,19.0,1.0,28.85,24.67,69.0,2.79,194.7,0.064,1.107,0.53,0,0,None,0,0,vehicular
Chennai,13.093706,80.280452,2014-11-01,28.45,179.05,44.51,22.07,1.309,43.21,19.69,68.03,3.58,253.41,0.213,3.591,1.031,0,0,None,0,0,industrial
Kolkata,22.564144,88.349767,2014-11-01,49.89,91.99,7.17,13.39,1.255,42.16,23.59,47.34,1.68,270.14,0.334,3.14,4.37,0,0,None,0,0,waste
Bengaluru,12.966506,77.599711,2014-11-01,86.31,176.38,39.68,19.76,1.422,31.84,26.47,38.86,3.1,11.25,0.177,2.845,1.668,0,0,None,0,0,industrial
Hyderabad,17.373239,78.470625,2014-11-01,64.14,102.06,32.7,14.68,1.32,39.81,30.19,60.91,4.16,212.32,0.717,0.553,0.503,0,0,None,0,0,vehicular
Pune,18.532902,73.862725,2014-11-01,94.08,99.52,63.52,33.53,1.0,44.76,24.18,90.68,1.96,214.15,0.379,0.605,6.486,0,0,None,0,0,vehicular
Guwahati,26.122699,91.718624,2014-11-01,35.59,190.2,25.05,4.64,1.596,26.07,13.05,72.09,2.05,20.74,0.218,0.347,2.489,0,0,None,0,0,vehicular
Lucknow,26.859146,80.931998,2014-11-01,157.65,334.97,68.14,28.39,1.0,19.4,25.56,84.59,0.94,82.63,0.788,3.597,3.1,1,0,None,0,0,agricultural
Kanpur,26.430823,80.329568,2014-11-01,10.1,149.84,17.41,31.86,1.0,39.09,25.51,59.43,2.16,135.34,0.342,0.251,0.792,0,0,None,0,0,vehicular
Delhi,28.590842,77.218485,2014-11-02,52.06,171.6,45.29,21.94,1.056,48.03,33.4,81.26,3.74,43.75,0.192,1.371,3.789,0,0,None,0,0,vehicular
Mumbai,19.053744,72.885948,2014-11-02,30.34,219.92,33.32,27.71,1.0,21.39,29.66,54.11,3.7,245.08,0.253,0.583,2.122,0,0,None,0,0,vehicular
Chennai,13.097744,80.282353,2014-11-02,104.84,78.37,18.37,15.15,1.423,30.08,26.45,77.59,3.45,217.41,1.33,7.778,8.296,0,0,None,0,0,industrial
Kolkata,22.56026,88.366446,2014-11-02,60.48,139.72,1.0,22.23,1.0,38.37,22.2,95.9,3.24,12.49,0.319,0.561,1.823,0,0,None,0,0,fire_crackers
Bengaluru,12.971357,77.600037,2014-11-02,8.28,132.85,50.08,21.03,1.091,27.44,34.57,68.34,3.78,134.59,0.372,0.546,3.493,1,0,None,0,0,agricultural
Hyderabad,17.3833,78.481828,2014-11-02,56.5,105.19,60.97,17.38,1.202,28.54,32.56,56.9,2.38,264.18,0.306,0.434,0.574,0,0,None,0,0,industrial
Pune,18.510638,73.865125,2014-11-02,44.76,133.63,22.47,19.0,1.0,34.0,34.02,40.66,2.96,230.81,0.162,2.796,8.345,0,0,None,0,0,vehicular
Guwahati,26.123332,91.748923,2014-11-02,55.4,64.39,56.59,25.68,1.0,26.89,24.61,37.26,0.53,44.43,0.463,1.148,10.902,0,0,None,0,0,agricultural
Lucknow,26.842079,80.950057,2014-11-02,100.33,20.26,23.01,23.36,1.376,48.75,17.44,73.73,3.83,175.27,0.802,0.151,5.385,0,0,None,0,0,agricultural
Kanpur,26.441569,80.316328,2014-11-02,37.48,173.42,51.07,34.72,1.295,26.78,32.18,82.43,2.77,12.41,1.632,0.37,2.578,0,0,None,0,0,industrial
Delhi,28.616821,77.247805,2014-11-03,61.16,178.41,8.58,17.44,1.061,36.31,20.3,77.51,1.64,31.81,1.01,0.007,2.147,0,0,None,0,0,fire_crackers
Mumbai,19.072021,72.892727,2014-11-03,76.03,52.88,56.81,20.35,1.133,34.58,25.15,51.74,5.15,213.19,0.442,3.058,2.608,0,0,None,0,0,vehicular
Chennai,13.069429,80.272493,2014-11-03,57.37,110.72,45.83,22.79,1.515,36.99,30.26,60.98,1.2,102.38,1.681,1.544,8.486,0,0,None,0,0,fire_crackers
Kolkata,22.565098,88.357946,2014-11-03,52.94,143.53,40.44,13.05,1.0,18.89,26.25,41.31,1.32,123.25,0.11,0.535,1.404,0,0,None,0,0,vehicular
Bengaluru,12.954394,77.58977,2014-11-03,58.1,75.13,55.54,1.0,1.544,22.02,31.54,87.46,4.57,120.67,0.305,2.119,2.478,0,0,None,0,0,vehicular
Hyderabad,17.397587,78.4923,2014-11-03,49.02,36.84,58.85,48.63,1.0,10.9,26.07,36.79,2.99,240.73,0.639,0.634,3.59,0,0,None,0,0,fire_crackers
Pune,18.51495,73.84929,2014-11-03,45.79,80.5,51.91,45.6,1.121,10.7,22.05,79.8,1.41,43.59,0.272,6.301,2.922,0,0,None,0,0,fire_crackers
Guwahati,26.122422,91.733896,2014-11-03,21.15,106.49,25.2,17.08,1.0,23.22,20.49,71.8,1.99,188.3,0.514,0.821,6.338,0,0,None,0,0,waste
Lucknow,26.84536,80.962228,2014-11-03,74.66,94.28,36.01,16.77,1.0,39.53,33.35,82.47,3.49,304.19,3.314,1.441,3.632,0,0,None,0,0,agricultural
Kanpur,26.445478,80.348255,2014-11-03,20.48,39.94,44.81,32.09,1.444,10.33,30.48,32.88,3.03,146.44,0.211,3.673,6.009,0,0,None,0,0,agricultural
Delhi,28.597323,77.214364,2014-11-04,76.51,105.88,79.47,5.5,1.228,6.14,33.1,37.81,6.08,337.13,1.0,0.312,12.93,1,0,None,0,0,agricultural
Mumbai,19.059872,72.893969,2014-11-04,78.84,49.23,51.59,23.97,1.645,1.0,16.4,48.2,2.4,217.45,0.214,4.065,2.596,0,0,None,0,0,agricultural
Chennai,13.08762,80.255172,2014-11-04,63.52,116.43,26.33,18.58,1.0,39.92,24.68,96.24,4.93,338.87,2.355,4.19,1.401,0,0,None,0,0,industrial
Kolkata,22.569554,88.37024,2014-11-04,40.75,40.48,47.45,26.43,1.114,46.7,32.98,73.73,0.18,275.97,0.989,2.578,2.059,0,0,None,0,0,vehicular
Bengaluru,12.984776,77.582507,2014-11-04,54.93,89.41,27.58,8.47,1.017,35.18,33.38,91.13,1.89,273.67,0.03,4.059,3.265,0,0,None,0,0,fire_crackers
Hyderabad,17.382733,78.475104,2014-11-04,91.02,143.38,34.6,28.76,1.0,41.02,29.5,66.52,3.67,81.51,2.465,4.561,1.926,0,0,None,0,0,industrial
Pune,18.534908,73.831721,2014-11-04,37.61,84.7,56.96,1.0,1.276,13.04,32.26,55.87,2.52,102.89,0.271,4.467,0.128,0,0,None,0,0,waste
Guwahati,26.126773,91.743171,2014-11-04,46.89,133.75,41.42,43.05,1.0,29.15,15.55,73.64,1.7,192.49,0.242,3.333,8.119,0,0,None,0,0,waste
Lucknow,26.836575,80.963078,2014-11-04,78.22,95.92,42.72,20.92,1.0,52.63,32.21,36.68,2.7,192.02,0.52,2.791,1.073,0,0,None,0,0,vehicular
Kanpur,26.466409,80.331426,2014-11-04,155.49,87.01,36.82,22.57,1.359,32.93,25.39,29.2,3.17,145.34,0.427,5.256,1.54,1,0,None,0,0,agricultural
Delhi,28.614005,77.235752,2014-11-05,69.56,58.54,10.32,15.14,1.187,27.16,23.92,90.77,4.69,123.76,1.988,3.131,2.691,0,0,None,0,0,vehicular
Mumbai,19.050161,72.882256,2014-11-05,89.25,19.1,48.3,20.61,1.219,36.14,36.08,41.7,4.24,118.52,0.096,2.478,2.462,0,0,None,0,0,industrial
Chennai,13.084254,80.288185,2014-11-05,31.17,106.25,64.5,10.38,1.601,20.47,36.84,54.32,3.0,26.63,0.456,1.357,5.673,0,0,None,0,0,vehicular
Kolkata,22.557513,88.357834,2014-11-05,40.41,102.85,50.16,33.61,1.799,39.96,26.29,93.67,3.55,90.62,0.324,4.055,3.533,0,0,None,0,0,vehicular
Bengaluru,12.971681,77.583254,2014-11-05,94.04,85.25,50.95,28.9,1.125,49.5,18.97,52.26,3.22,102.28,1.263,1.886,5.709,0,0,None,0,0,vehicular
Hyderabad,17.360636,78.470088,2014-11-05,117.78,99.01,1.0,14.19,1.599,21.49,33.32,66.84,5.08,120.95,0.314,3.545,3.03,0,0,None,0,0,vehicular
Pune,18.507349,73.842616,2014-11-05,55.64,54.81,46.78,30.67,1.0,25.49,36.85,81.44,0.1,168.12,4.803,3.383,0.261,0,0,None,0,0,fire_crackers
Guwahati,26.122453,91.742261,2014-11-05,41.38,46.29,31.86,17.52,1.542,49.52,39.82,18.52,3.97,32.02,0.453,2.278,4.75,0,0,None,0,0,vehicular
Lucknow,26.846272,80.961537,2014-11-05,43.48,141.81,43.54,24.37,1.692,25.9,31.59,63.8,1.88,82.43,0.01,3.871,1.547,0,0,None,0,0,waste
Kanpur,26.444929,80.312129,2014-11-05,90.42,179.36,61.04,41.62,1.368,36.48,21.69,22.89,2.11,152.17,0.573,5.689,2.481,0,0,None,0,0,vehicular
Delhi,28.622124,77.246657,2014-11-06,112.68,122.27,83.82,2.2,1.0,29.93,24.6,74.78,3.44,160.04,0.515,3.459,0.906,0,0,None,0,0,vehicular
Mumbai,19.086823,72.870208,2014-11-06,59.98,255.69,40.5,25.77,1.0,49.45,27.86,63.76,4.7,335.8,2.008,0.481,1.737,0,0,None,0,0,vehicular
Chennai,13.070451,80.28743,2014-11-06,77.02,115.03,53.38,10.24,1.19,30.89,31.16,92.01,2.89,136.17,0.53,2.068,1.054,0,0,None,0,0,vehicular
Kolkata,22.555355,88.35628,2014-11-06,66.19,109.97,37.44,18.0,1.574,33.84,30.27,54.98,2.42,83.25,0.16,0.036,0.547,0,0,None,0,0,agricultural
Bengaluru,12.978303,77.583769,2014-11-06,98.9,149.35,44.15,22.46,1.0,33.14,20.57,60.64,5.23,338.29,0.926,0.449,1.819,0,0,None,0,0,vehicular
Hyderabad,17.387296,78.463562,2014-11-06,87.27,82.18,19.24,15.05,1.0,25.49,27.84,52.43,2.87,35.05,0.392,1.408,3.895,0,0,None,0,0,industrial
Pune,18.513535,73.848835,2014-11-06,18.69,147.0,31.5,35.38,1.018,45.2,33.49,79.34,3.57,28.66,1.515,9.29,3.885,0,0,None,0,0,agricultural
Guwahati,26.15749,91.748445,2014-11-06,61.13,85.3,11.08,31.47,1.164,49.06,29.51,65.03,4.61,220.61,0.319,0.928,5.718,0,0,None,0,0,vehicular
Lucknow,26.84112,80.934698,2014-11-06,270.54,205.86,45.95,9.27,1.0,23.04,30.32,60.28,3.17,41.21,1.259,0.819,5.047,1,0,None,0,0,agricultural
Kanpur,26.430105,80.338353,2014-11-06,51.29,139.0,13.97,13.57,1.0,19.85,25.29,62.82,0.1,64.38,0.362,0.293,10.285,0,0,None,0,0,fire_crackers
Delhi,28.617061,77.221862,2014-11-07,40.26,205.65,28.06,26.48,1.0,52.34,26.66,72.9,4.18,25.8,0.643,3.955,3.474,0,0,None,0,0,fire_crackers
Mumbai,19.085163,72.875211,2014-11-07,83.83,155.6,35.63,15.07,1.351,30.45,36.1,64.4,3.3,157.33,2.768,0.257,5.813,0,0,None,0,0,waste
Chennai,13.076048,80.274077,2014-11-07,46.92,141.23,35.71,1.84,1.0,39.76,29.3,69.31,2.11,71.47,0.737,0.339,11.006,0,0,None,0,0,waste
Kolkata,22.56265,88.347787,2014-11-07,47.33,119.78,46.44,25.87,2.103,21.29,30.19,40.95,3.68,301.12,0.017,0.853,0.319,0,0,None,0,0,fire_crackers
Bengaluru,12.967407,77.589205,2014-11-07,72.14,113.33,57.03,15.3,1.248,30.48,30.97,88.07,3.51,275.82,1.067,1.375,2.261,0,0,None,0,0,vehicular
Hyderabad,17.364457,78.467806,2014-11-07,47.34,47.06,24.93,24.27,1.042,18.23,21.09,73.65,5.37,274.45,0.392,1.695,4.069,0,0,None,0,0,fire_crackers
Pune,18.508421,73.865505,2014-11-07,31.3,124.71,44.11,40.6,2.343,29.83,33.96,45.28,2.47,335.25,0.772,1.137,0.511,0,0,None,0,0,waste
Guwahati,26.131997,91.731633,2014-11-07,65.32,116.17,50.22,27.67,1.0,34.52,32.97,66.3,2.78,262.1,0.011,0.951,1.069,0,0,None,0,0,vehicular
Lucknow,26.834983,80.968524,2014-11-07,61.01,91.11,37.86,21.51,1.268,19.0,30.53,53.44,2.01,70.45,0.781,0.221,4.63,0,0,None,0,0,vehicular
Kanpur,26.463029,80.31964,2014-11-07,53.91,202.89,53.09,32.59,1.068,44.59,34.36,72.56,0.95,67.28,0.719,1.425,2.05,0,0,None,0,0,vehicular
Delhi,28.616737,77.249838,2014-11-08,16.8,117.04,1.0,28.21,1.0,30.97,25.83,51.56,1.1,92.23,0.151,2.46,5.991,0,0,None,0,0,fire_crackers
Mumbai,19.063381,72.866621,2014-11-08,47.52,105.62,16.53,12.85,1.042,29.5,35.75,41.54,3.64,285.03,0.083,0.845,6.64,0,0,None,0,0,fire_crackers
Chennai,13.097271,80.258917,2014-11-08,126.65,148.8,48.45,12.86,1.0,29.24,19.48,70.2,3.43,133.42,0.46,4.468,2.775,0,0,None,0,0,vehicular
Kolkata,22.578597,88.34739,2014-11-08,44.57,52.06,46.34,9.51,1.0,38.29,17.41,80.38,3.74,274.18,1.686,3.732,5.145,0,0,None,0,0,vehicular
Bengaluru,12.978878,77.582345,2014-11-08,50.43,142.11,64.27,20.92,1.0,33.73,29.6,73.17,3.35,49.99,0.437,2.533,4.262,0,0,None,0,0,vehicular
Hyderabad,17.385643,78.481061,2014-11-08,26.56,245.1,42.16,6.0,1.575,4.96,26.17,49.99,2.53,53.52,0.202,4.6,8.702,0,0,None,0,0,vehicular
Pune,18.527022,73.860589,2014-11-08,106.07,125.02,15.55,16.92,1.0,33.56,23.93,60.98,2.62,121.23,0.101,0.03,2.421,0,0,None,0,0,vehicular
Guwahati,26.124361,91.712669,2014-11-08,24.9,146.64,40.49,41.44,1.183,27.51,36.22,62.28,3.0,207.38,0.25,0.814,4.943,0,0,None,0,0,waste
Lucknow,26.845118,80.958059,2014-11-08,95.13,127.31,44.28,33.47,1.156,31.61,27.76,57.9,2.48,81.59,0.086,8.181,1.357,0,0,None,0,0,agricultural
Kanpur,26.467886,80.348489,2014-11-08,68.19,135.91,26.48,1.0,1.0,31.89,23.04,28.61,4.16,33.63,1.355,7.158,0.668,0,0,None,0,0,vehicular
Delhi,28.605444,77.216256,2014-11-09,7.04,160.12,40.46,19.97,1.0,26.92,31.55,36.96,5.3,165.48,1.948,0.887,1.282,0,0,None,0,0,vehicular
Mumbai,19.057709,72.898982,2014-11-09,84.8,207.41,38.48,14.47,1.041,15.64,38.58,52.41,0.1,263.31,0.524,1.494,1.094,0,0,None,0,0,industrial
Chennai,13.063281,80.284953,2014-11-09,78.37,14.71,10.33,20.72,1.102,1.0,35.11,57.79,2.86,187.43,0.847,0.624,3.543,0,0,None,0,0,vehicular
Kolkata,22.586643,88.358699,2014-11-09,63.82,146.66,37.72,16.9,1.0,18.6,28.79,38.26,3.32,144.89,0.456,3.32,5.854,0,0,None,0,0,agricultural
Bengaluru,12.975999,77.572079,2014-11-09,52.68,136.3,34.83,6.94,1.0,52.6,32.5,88.38,4.92,337.98,0.045,2.114,3.11,0,0,None,0,0,vehicular
Hyderabad,17.38409,78.464121,2014-11-09,33.24,127.07,27.23,13.5,1.341,26.84,28.19,41.1,4.6,327.79,1.007,1.249,1.429,0,0,None,0,0,vehicular
Pune,18.512013,73.847145,2014-11-09,47.53,101.56,48.42,17.18,1.0,20.24,24.4,47.54,5.21,305.34,0.421,0.862,2.012,0,0,None,0,0,industrial
Guwahati,26.151171,91.732689,2014-11-09,80.32,86.57,45.18,33.94,1.0,37.18,20.88,69.08,3.54,71.17,0.178,6.408,1.992,0,0,None,0,0,vehicular
Lucknow,26.847416,80.963631,2014-11-09,84.89,135.87,40.05,14.5,1.039,48.55,30.04,61.58,2.61,152.83,0.243,0.433,1.92,0,0,None,0,0,agricultural
Kanpur,26.430207,80.347151,2014-11-09,71.53,446.45,43.76,20.0,1.092,33.7,33.81,70.72,3.61,290.5,0.139,1.472,3.238,1,0,None,0,0,agricultural
Delhi,28.606459,77.243429,2014-11-10,107.43,92.7,51.9,13.29,1.0,56.37,27.21,85.92,3.18,347.59,0.299,1.535,0.829,0,0,None,0,0,industrial
Mumbai,19.068631,72.898797,2014-11-10,64.37,94.1,65.31,14.86,1.293,26.34,20.13,74.76,2.86,82.28,1.1,0.059,4.796,0,0,None,0,0,waste
Chennai,13.075759,80.281766,2014-11-10,23.06,138.36,26.23,29.47,1.161,31.68,32.46,34.99,4.07,342.46,0.619,0.208,0.042,0,0,None,0,0,fire_crackers
Kolkata,22.584993,88.375373,2014-11-10,46.61,77.9,76.72,31.5,1.153,3.1,21.3,30.34,2.36,39.88,0.475,3.414,0.427,0,0,None,0,0,waste
Bengaluru,12.954241,77.591476,2014-11-10,37.1,119.86,6.46,22.3,1.832,22.21,30.93,53.53,2.41,271.32,0.128,0.418,5.638,0,0,None,0,0,vehicular
Hyderabad,17.386413,78.487702,2014-11-10,26.04,190.54,14.47,10.15,1.0,46.29,29.56,75.76,2.74,241.89,0.027,1.498,2.803,0,0,None,0,0,vehicular
Pune,18.521043,73.844364,2014-11-10,72.08,110.02,72.57,19.82,1.0,34.58,21.33,81.58,1.42,186.83,0.28,0.461,7.817,0,0,None,0,0,vehicular
Guwahati,26.121821,91.748983,2014-11-10,42.03,1.0,6.79,24.58,1.0,33.1,26.78,65.48,5.42,347.95,0.457,0.203,1.999,0,0,None,0,0,waste
Lucknow,26.839742,80.963029,2014-11-10,90.65,140.2,50.02,24.76,1.132,44.77,36.79,40.17,2.88,209.34,0.045,2.484,11.989,0,0,None,0,0,fire_crackers
Kanpur,26.458731,80.340747,2014-11-10,50.96,235.29,30.17,25.23,1.0,25.99,34.1,91.35,1.64,171.61,0.688,3.381,1.491,0,0,None,0,0,industrial
Delhi,28.602298,77.214452,2014-11-11,45.88,134.55,16.64,30.93,1.0,24.79,33.81,44.41,2.56,49.51,1.407,3.761,1.222,0,0,None,0,0,industrial
Mumbai,19.085676,72.88421,2014-11-11,104.31,154.08,44.36,33.43,1.0,22.45,19.22,26.61,1.5,332.47,0.266,0.067,0.596,0,0,None,0,0,waste
Chennai,13.078578,80.277807,2014-11-11,85.34,87.08,54.3,21.13,1.0,24.4,30.28,67.4,4.66,185.03,0.079,0.217,0.684,0,0,None,0,0,vehicular
Kolkata,22.574153,88.341296,2014-11-11,57.79,67.56,28.3,27.23,1.0,24.87,23.46,29.04,0.94,98.58,2.955,3.063,0.204,0,0,None,0,0,vehicular
Bengaluru,12.977392,77.570812,2014-11-11,80.31,162.1,46.88,36.06,1.0,27.42,30.19,55.43,2.74,56.86,0.689,4.109,1.087,0,0,None,0,0,fire_crackers
Hyderabad,17.394188,78.464794,2014-11-11,27.09,155.91,38.44,7.21,1.0,35.93,23.64,76.53,5.61,139.13,0.753,0.606,0.144,0,0,None,0,0,industrial
Pune,18.512343,73.844469,2014-11-11,13.0,44.27,8.25,6.28,2.121,26.86,26.13,71.66,4.04,130.99,0.805,3.109,0.146,0,0,None,0,0,vehicular
Guwahati,26.13092,91.738494,2014-11-11,96.99,140.32,6.8,9.95,1.0,18.46,27.82,54.73,0.36,193.31,3.913,1.711,3.58,0,0,None,0,0,fire_crackers
Lucknow,26.856991,80.938725,2014-11-11,149.01,253.37,21.02,26.33,1.072,56.26,35.13,49.3,2.54,46.14,1.175,0.336,0.897,1,0,None,0,0,agricultural
Kanpur,26.453895,80.333126,2014-11-11,60.91,158.13,59.25,26.4,1.272,55.99,39.89,60.25,3.97,37.33,0.081,1.598,8.698,0,0,None,0,0,fire_crackers
Delhi,28.617972,77.214999,2014-11-12,68.64,150.03,39.4,9.72,1.257,30.09,36.03,65.36,3.35,158.13,1.937,0.09,7.883,0,0,None,0,0,waste
Mumbai,19.0634,72.898507,2014-11-12,41.73,73.84,33.45,13.4,1.065,31.17,40.26,71.23,1.9,336.03,0.957,0.971,2.922,0,0,None,0,0,vehicular
Chennai,13.08283,80.288301,2014-11-12,92.12,1.0,39.31,31.46,1.0,19.94,28.38,56.9,3.1,128.05,0.065,1.227,2.536,0,0,None,0,0,fire_crackers
Kolkata,22.565648,88.372264,2014-11-12,87.75,88.71,37.6,11.54,1.0,13.78,38.71,35.32,4.68,181.01,2.664,1.729,0.242,0,0,None,0,0,waste
Bengaluru,12.955323,77.597585,2014-11-12,52.53,111.25,40.26,7.25,1.688,18.32,28.44,45.02,2.79,324.98,0.404,0.809,1.687,0,0,None,0,0,agricultural
Hyderabad,17.372009,78.466832,2014-11-12,45.69,60.07,22.15,25.99,1.0,5.23,29.25,52.82,1.83,142.46,1.046,1.22,2.406,0,0,None,0,0,agricultural
Pune,18.517178,73.84091,2014-11-12,17.08,106.05,27.97,18.46,1.348,36.0,38.03,51.0,3.9,167.28,0.84,0.244,0.531,0,0,None,0,0,vehicular
Guwahati,26.129947,91.737765,2014-11-12,29.03,60.59,66.68,23.42,1.0,21.97,20.46,62.15,0.62,294.15,0.182,12.818,1.14,0,0,None,0,0,vehicular
Lucknow,26.869461,80.93958,2014-11-12,76.6,79.02,10.23,13.61,1.435,35.24,27.16,70.18,1.02,225.51,0.355,2.182,4.617,0,0,None,0,0,vehicular
Kanpur,26.450799,80.321834,2014-11-12,109.26,82.53,27.19,25.6,1.879,24.69,32.85,74.6,2.38,4.03,1.209,0.576,1.193,0,0,None,0,0,vehicular
Delhi,28.60324,77.216539,2014-11-13,39.47,192.47,22.49,23.71,1.14,28.59,29.19,62.4,4.83,268.89,0.341,1.334,4.714,0,0,None,0,0,vehicular
Mumbai,19.060142,72.861021,2014-11-13,58.23,86.3,47.69,27.71,1.143,16.26,26.05,51.26,2.5,217.2,0.051,0.654,1.436,0,0,None,0,0,industrial
Chennai,13.06166,80.26247,2014-11-13,43.41,117.89,38.04,19.15,1.344,31.54,29.24,38.42,4.95,346.58,0.187,0.476,4.946,0,0,None,0,0,waste
Kolkata,22.580124,88.369853,2014-11-13,85.71,105.66,43.78,42.35,1.0,47.41,26.34,64.71,0.36,300.84,0.281,2.13,0.874,0,0,None,0,0,waste
Bengaluru,12.965007,77.582916,2014-11-13,96.22,144.92,40.99,27.16,1.0,31.84,32.13,48.95,2.72,329.42,0.169,1.037,1.966,0,0,None,0,0,vehicular
Hyderabad,17.379508,78.498782,2014-11-13,80.75,176.63,18.37,11.68,2.099,40.87,18.91,39.43,1.84,207.95,1.096,0.818,0.247,0,0,None,0,0,vehicular
Pune,18.506424,73.839565,2014-11-13,1.0,83.06,24.11,20.86,1.0,11.52,27.64,71.15,3.93,84.27,0.618,0.087,3.862,0,0,None,0,0,vehicular
Guwahati,26.122505,91.711792,2014-11-13,48.77,163.99,21.19,1.0,1.433,33.15,21.53,43.71,1.27,169.15,0.488,0.418,1.135,0,0,None,0,0,waste
Lucknow,26.832526,80.949576,2014-11-13,147.87,216.67,25.21,2.58,1.046,34.17,28.01,78.0,2.65,192.57,1.985,2.79,3.927,1,0,None,0,0,agricultural
Kanpur,26.450795,80.31609,2014-11-13,50.36,120.2,30.61,2.83,1.395,10.4,23.09,69.97,4.39,220.6,0.03,0.665,2.591,0,0,None,0,0,agricultural
Delhi,28.59327,77.239215,2014-11-14,67.79,149.69,63.8,24.84,1.0,20.49,23.41,58.35,1.71,359.03,1.48,1.206,1.797,0,0,None,0,0,vehicular
Mumbai,19.076742,72.888613,2014-11-14,50.92,180.55,11.95,10.6,1.171,37.12,26.96,59.77,3.92,295.15,1.981,0.743,3.924,0,0,None,0,0,vehicular
Chennai,13.085898,80.25886,2014-11-14,76.49,59.45,55.21,21.99,1.851,19.49,25.77,29.4,3.66,72.05,0.6,0.328,1.463,0,0,None,0,0,vehicular
Kolkata,22.553923,88.348306,2014-11-14,42.49,106.87,50.05,1.0,1.185,46.1,30.89,38.77,2.86,189.57,0.089,2.131,4.046,0,0,None,0,0,agricultural
Bengaluru,12.966983,77.591189,2014-11-14,42.29,141.67,37.1,22.33,1.0,27.94,21.26,66.13,3.24,278.27,0.891,6.749,1.258,0,0,None,0,0,vehicular
Hyderabad,17.385391,78.461115,2014-11-14,93.0,21.16,38.3,12.77,1.009,35.11,21.16,57.34,2.96,286.46,0.579,1.137,2.093,0,0,None,0,0,fire_crackers
Pune,18.506031,73.830504,2014-11-14,80.18,198.39,40.0,40.52,1.819,30.19,28.4,59.21,1.75,192.32,0.479,1.071,0.75,0,0,None,0,0,industrial
Guwahati,26.121508,91.728632,2014-11-14,45.8,237.91,44.25,31.42,1.0,23.08,28.74,66.17,0.34,60.02,2.079,3.129,1.482,0,0,None,0,0,vehicular
Lucknow,26.842173,80.947987,2014-11-14,81.57,139.93,30.34,12.46,1.864,32.07,31.62,46.16,4.43,97.26,1.107,2.399,2.653,0,0,None,0,0,agricultural
Kanpur,26.43213,80.320906,2014-11-14,173.98,399.06,83.06,15.15,1.213,49.58,30.39,49.07,4.65,96.03,0.199,1.054,1.224,1,0,None,0,0,agricultural
Delhi,28.592355,77.238766,2014-11-15,72.88,159.26,29.48,20.77,1.684,59.6,25.0,88.45,3.01,79.24,0.137,3.305,8.231,0,0,None,0,0,vehicular
Mumbai,19.064504,72.887423,2014-11-15,79.61,64.35,56.03,20.92,1.618,33.27,23.42,60.02,2.17,124.18,0.535,2.485,1.18,0,0,None,0,0,fire_crackers
Chennai,13.07338,80.285009,2014-11-15,74.79,129.8,49.74,21.4,1.0,21.84,32.35,22.43,2.64,69.19,0.661,2.714,4.068,0,0,None,0,0,vehicular
Kolkata,22.58849,88.370542,2014-11-15,36.88,162.93,37.41,35.77,1.073,7.03,26.78,73.19,2.83,79.08,1.258,1.632,3.311,0,0,None,0,0,industrial
Bengaluru,12.976112,77.579115,2014-11-15,23.55,302.73,28.11,18.89,1.101,28.63,28.99,29.7,1.46,5.94,0.163,1.756,4.073,0,0,None,0,0,vehicular
Hyderabad,17.398022,78.4804,2014-11-15,114.92,164.8,40.3,37.13,1.0,23.54,17.59,49.75,6.09,198.08,0.0,1.039,5.972,0,0,None,0,0,waste
Pune,18.512399,73.844137,2014-11-15,89.2,197.62,50.26,4.39,1.0,30.35,31.14,96.74,4.3,282.35,3.239,0.991,2.765,0,0,None,0,0,agricultural
Guwahati,26.150639,91.723224,2014-11-15,59.43,178.39,11.93,16.69,1.28,22.51,29.74,89.18,2.06,281.61,0.048,1.869,0.488,0,0,None,0,0,waste
Lucknow,26.869278,80.959769,2014-11-15,102.32,81.32,37.23,33.36,1.0,25.84,29.05,45.0,2.18,11.19,0.33,0.664,0.722,0,0,None,0,0,agricultural
Kanpur,26.463214,80.328605,2014-11-15,97.64,160.21,79.36,6.83,1.429,41.49,26.55,49.5,5.42,71.5,0.227,1.577,3.009,1,0,None,0,0,agricultural
Delhi,28.592856,77.244787,2014-11-16,47.77,84.23,29.07,21.17,1.056,28.76,33.19,51.3,2.51,53.47,0.751,4.281,5.133,0,0,None,0,0,vehicular
Mumbai,19.050164,72.897665,2014-11-16,15.42,139.37,28.38,18.57,1.0,34.45,27.62,100.0,5.44,347.01,0.222,0.152,3.636,0,0,None,0,0,fire_crackers
Chennai,13.064777,80.274059,2014-11-16,82.84,31.74,9.49,20.93,1.0,37.71,14.77,82.08,2.94,153.86,0.092,0.961,0.165,0,0,None,0,0,industrial
Kolkata,22.562779,88.377573,2014-11-16,26.86,97.33,48.62,19.72,1.339,40.57,36.78,54.42,4.66,139.67,0.092,1.606,1.11,0,0,None,0,0,vehicular
